Sentence #,Word,POS
13,excess,NN
13,of,IN
13,40,CD
13,hour,NN
13,in,IN
13,workweek,NN
14,management,NN
14,shall,MD
14,have,VB
14,the,DT
14,discretion,NN
14,to,TO
14,determine,VB
14,whether,IN
14,overtime,JJ
14,compensation,NN
14,shall,MD
14,be,VB
14,in,IN
14,cash,NN
14,or,CC
14,time-off,NN
15,overtime,JJ
15,compensation,NN
15,shall,MD
15,be,VB
15,in,IN
15,time,NN
15,off,RP
15,at,IN
15,the,DT
15,rate,NN
15,of,IN
15,one,CD
15,and,CC
15,one-half,CD
15,1½,CD
15,hour,NN
15,for,IN
15,each,DT
15,hour,NN
15,of,IN
15,overtime,JJ
15,worked,VB
15,or,CC
15,at,IN
15,the,DT
15,rate,NN
15,of,IN
15,one,CD
15,and,CC
15,one-half,CD
15,1½,CD
15,time,NN
15,the,DT
15,employee,NN
15,'s,PRP$
15,regular,JJ
15,rate,NN
15,of,IN
15,pay,NN
16,section,NN
16,iv,NN
16,compensated,VB
16,time,NN
16,off,IN
16,employees,NN
16,may,MD
16,subject,VB
16,to,TO
16,management,NN
16,discretion,NN
16,be,VB
16,permitted,VB
16,to,TO
16,accumulate,VB
16,up,RP
16,to,TO
16,80,CD
16,hour,NN
16,of,IN
16,compensatory,JJ
16,time,NN
16,off,RP
16,cto,NN
16,occasionally,RB
16,employee,NN
16,may,MD
16,accumulate,VB
16,cto,NN
16,in,IN
16,excess,NN
16,of,IN
16,80,CD
16,hour,NN
16,for,IN
16,temporary,JJ
16,period,NN
16,of,IN
16,time,NN
16,not,RB
16,to,TO
16,exceed,VB
16,an,DT
16,additional,JJ
16,fiscal,JJ
16,year,NN
17,if,IN
17,an,DT
17,employee,NN
17,does,VB
17,not,RB
17,schedule,NN
17,and,CC
17,take,VB
17,cto,NN
17,over,IN
17,80,CD
17,hour,NN
17,prior,JJ
17,to,TO
17,the,DT
17,end,NN
17,of,IN
17,the,DT
17,fiscal,JJ
17,year,NN
17,management,NN
17,may,MD
17,require,VB
17,employee,NN
17,to,TO
17,use,VB
17,cto,NN
17,prior,JJ
17,to,TO
17,the,DT
17,end,NN
17,of,IN
17,the,DT
17,fiscal,JJ
17,year,NN
17,require,VB
17,employee,NN
17,to,TO
17,use,VB
17,such,JJ
17,time,NN
17,in,IN
17,lieu,NN
17,of,IN
17,vacation,NN
17,unless,IN
17,the,DT
17,mandatory,JJ
17,use,NN
17,of,IN
17,cto,NN
17,would,MD
17,result,VB
17,in,IN
17,the,DT
17,loss,NN
17,of,IN
17,vacation,NN
17,accumulation,NN
17,or,CC
17,other,JJ
2830,leave,VB
17,time,NN
17,or,CC
17,authorize,VB
17,cash,NN
17,payment,NN
18,in,IN
18,the,DT
18,event,NN
18,sufficient,NN
18,fund,NN
18,are,VB
18,not,RB
18,available,JJ
18,to,TO
18,provide,VB
18,cash,NN
18,compensation,NN
18,for,IN
18,all,DT
18,or,CC
18,portion,NN
18,of,IN
18,the,DT
18,cto,NN
18,hour,NN
18,in,IN
18,excess,NN
18,of,IN
18,80,CD
18,management,NN
18,may,MD
18,extend,VB
18,the,DT
18,time,NN
18,limit,NN
18,for,IN
18,period,NN
18,not,RB
18,to,TO
18,exceed,VB
18,one,CD
18,additional,JJ
18,fiscal,JJ
18,year,NN
19,in,IN
19,accordance,NN
19,with,IN
19,flsa,NN
19,no,DT
19,employee,NN
19,shall,MD
19,lose,VB
19,cto,NN
20,an,DT
20,employee,NN
20,who,WP
20,has,VB
20,requested,VB
20,the,DT
20,use,NN
20,of,IN
20,cto,NN
20,for,IN
20,overtime,NN
20,worked,VB
20,must,MD
20,be,VB
20,permitted,VB
20,by,IN
20,management,NN
20,to,TO
20,use,VB
20,such,JJ
20,time,NN
20,within,IN
20,reasonable,JJ
20,time,NN
20,period,NN
20,after,IN
20,making,VB
20,the,DT
20,request,NN
20,unless,IN
20,the,DT
20,use,NN
20,of,IN
20,the,DT
20,cto,NN
20,within,IN
20,reasonable,JJ
20,period,NN
20,would,MD
20,unduly,RB
20,disrupt,VB
20,the,DT
20,operation,NN
20,of,IN
20,the,DT
20,city,NN
20,department,NN
21,this,DT
21,standard,JJ
21,does,VB
21,not,RB
21,apply,VB
21,to,TO
21,non-flsa,JJ
21,overtime,NN
21,i.e.,RB
21,overtime,NN
21,earned,VB
21,pursuant,NN
21,to,TO
21,this,DT
21,agreement,NN
21,that,WDT
21,does,VB
21,not,RB
21,meet,VB
21,the,DT
21,flsa,NN
21,definition,NN
21,of,IN
21,overtime,JJ
21,32,CD
21,mou01,NN
21,41457,CD
21,42551,CD
21,under,IN
21,no,DT
21,circumstance,NN
21,shall,MD
21,compensated,VB
21,time,NN
21,off,RP
21,in,IN
21,excess,NN
21,of,IN
21,240,CD
21,hour,NN
21,be,VB
21,accumulated,VB
22,article,NN
22,6.3,CD
22,shift,NN
22,differential,JJ
22,notwithstanding,VB
22,the,DT
22,provision,NN
22,of,IN
22,note,NN
22,of,IN
22,schedule,NN
22,of,IN
22,laac,NN
22,section,NN
22,4.61,CD
22,any,DT
22,employee,NN
22,when,WRB
22,required,VB
22,to,TO
22,work,VB
22,fifty,CD
22,percent,NN
22,50,CD
22,%,%
22,or,CC
22,more,RB
22,of,IN
22,his/her,PRP$
22,time,NN
22,during,IN
22,his/her,PRP$
22,regular,JJ
22,shift,NN
22,on,IN
22,any,DT
22,one,CD
22,day,NN
22,between,IN
22,the,DT
22,hour,NN
22,of,IN
22,5:00,CD
22,p.m.,NN
22,and,CC
22,8:00,CD
22,a.m.,NN
22,shall,MD
22,receive,VB
22,for,IN
22,each,DT
22,such,JJ
22,day,NN
22,worked,VB
22,salary,NN
22,at,IN
22,the,DT
22,second,JJ
22,premium,JJ
22,level,NN
22,rate,NN
22,above,IN
22,the,DT
22,appropriate,JJ
22,step,NN
22,rate,NN
22,of,IN
22,the,DT
22,salary,NN
22,range,NN
22,prescribed,VB
22,for,IN
22,his/her,PRP$
22,classification,NN
23,the,DT
23,procedure,NN
23,for,IN
23,the,DT
23,payment,NN
23,of,IN
23,adjusted,JJ
23,compensation,NN
23,for,IN
23,work,NN
23,performed,VB
23,under,IN
23,the,DT
23,provision,NN
23,of,IN
23,this,DT
23,article,NN
23,shall,MD
23,be,VB
23,in,IN
23,accordance,NN
23,with,IN
23,laac,NN
23,sections,NN
23,4.72,CD
23,4.74,CD
23,and,CC
23,4.75,CD
24,article,NN
24,6.4,CD
24,bilingual,JJ
24,bonus,NN
24,whenever,WRB
24,an,DT
24,appointing,VB
24,authority,NN
24,determines,VB
24,that,IN
24,it,PRP
24,is,VB
24,necessary,JJ
24,or,CC
24,desirable,JJ
24,that,IN
24,position,NN
24,be,VB
24,filled,VB
24,by,IN
24,person,NN
24,able,JJ
24,to,TO
24,converse,VB
24,fluently,RB
24,in,IN
24,language,NN
24,other,JJ
24,than,IN
24,english,NN
24,or,CC
24,write,VB
24,and,CC
24,interpret,VB
24,language,NN
24,other,JJ
24,than,IN
24,english,NN
24,the,DT
24,appointing,JJ
24,authority,NN
24,shall,MD
24,transmit,VB
24,to,TO
24,the,DT
24,controller,NN
24,written,JJ
24,authorization,NN
24,approving,VB
24,payment,NN
24,of,IN
24,bilingual,JJ
24,premium,NN
24,provided,VB
24,by,IN
24,this,DT
24,article,NN
24,to,TO
24,the,DT
24,person,NN
24,occupying,VB
24,such,JJ
24,position,NN
24,and,CC
24,possessing,VB
24,such,JJ
24,bilingual,JJ
24,skill,NN
25,after,IN
25,authorizing,VB
25,payment,NN
25,of,IN
25,bilingual,JJ
25,premium,NN
25,the,DT
25,appointing,VB
25,authority,NN
25,shall,MD
25,certify,VB
25,to,TO
25,the,DT
25,controller,NN
25,the,DT
25,name,NN
25,of,IN
25,an,DT
25,employee,NN
25,eligible,JJ
25,for,IN
25,bilingual,JJ
25,premium,NN
25,and,CC
25,the,DT
25,personnel,NN
25,department,NN
25,shall,MD
25,certify,VB
25,to,TO
25,the,DT
25,controller,NN
25,that,IN
25,the,DT
25,employee,NN
25,has,VB
25,qualified,VB
25,under,IN
25,it,PRP
25,standard,NN
25,of,IN
25,fluency,NN
25,and,CC
25,proficiency,NN
25,for,IN
25,said,VB
25,language,NN
26,persons,NN
26,certified,VB
26,being,VB
26,qualified,VB
26,by,IN
26,the,DT
26,personnel,NN
26,department,NN
26,shall,MD
26,receive,VB
26,bilingual,JJ
26,bonus,NN
26,of,IN
26,$,$
26,25,CD
26,per,IN
26,biweekly,JJ
26,pay,NN
26,period,NN
26,for,IN
26,duty,NN
26,requiring,VB
26,conversing,VB
26,fluently,RB
26,in,IN
26,language,NN
26,other,JJ
26,than,IN
26,english,NN
26,or,CC
26,$,$
26,50,CD
26,per,IN
26,biweekly,JJ
26,pay,NN
26,period,NN
26,for,IN
26,duty,NN
26,requiring,VB
26,conversing,VB
26,fluently,RB
26,and,CC
26,interpreting,JJ
26,language,NN
26,other,JJ
26,than,IN
26,english,NN
27,for,IN
27,newly,RB
27,hired,VB
27,employee,NN
27,or,CC
27,employee,NN
27,newly,RB
27,appointed,VB
27,to,TO
27,bilingual,JJ
27,position,NN
27,the,DT
27,premium,JJ
27,shall,MD
27,be,VB
27,paid,VB
27,at,IN
27,the,DT
27,beginning,NN
27,of,IN
27,the,DT
27,first,JJ
27,full,JJ
27,biweekly,JJ
27,pay,NN
27,period,NN
27,once,IN
27,the,DT
27,employee,NN
27,has,VB
27,been,VB
27,certified,VB
27,by,IN
27,the,DT
27,personnel,NN
27,department,NN
28,33,CD
28,mou01,NN
28,41457,CD
28,42551,CD
28,article,NN
28,6.5,CD
28,sign,NN
28,language,NN
28,premium,NN
28,any,DT
28,qualified,JJ
28,employee,NN
28,covered,VB
28,by,IN
28,the,DT
28,provision,NN
28,of,IN
28,the,DT
28,mou,NN
28,who,WP
28,is,VB
28,requested,VB
28,by,IN
28,the,DT
28,hearing,NN
28,impaired,JJ
28,assistance,NN
28,center,NN
28,to,TO
28,utilize,VB
28,sign,NN
28,language,NN
28,shall,MD
28,receive,VB
28,compensation,NN
28,equal,JJ
28,to,TO
28,two,CD
28,and,CC
28,three-quarter,CD
28,percent,NN
28,2.75,CD
28,%,%
28,of,IN
28,their,PRP$
28,salary,NN
28,or,CC
28,wage,NN
28,for,IN
28,each,DT
28,business,NN
28,day,NN
28,the,DT
28,skill,NN
28,is,VB
28,utilized,VB
29,such,JJ
29,practice,NN
29,of,IN
29,additional,JJ
29,compensation,NN
29,shall,MD
29,be,VB
29,in,IN
29,accordance,NN
29,with,IN
29,laac,NN
29,section,NN
29,4.84.1,CD
30,article,NN
30,6.6,CD
30,court,NN
30,appearances,NN
30,section,VB
30,the,DT
30,following,JJ
30,court,NN
30,provision,NN
30,will,MD
30,apply,VB
30,to,TO
30,all,DT
30,employee,NN
30,in,IN
30,the,DT
30,unit,NN
30,except,IN
30,those,DT
30,in,IN
30,the,DT
30,police,NN
30,department,NN
31,when,WRB
31,an,DT
31,employee,NN
31,is,VB
31,required,VB
31,to,TO
31,appear,VB
31,in,IN
31,court,NN
31,in,IN
31,and,CC
31,for,IN
31,the,DT
31,county,NN
31,of,IN
31,los,NN
31,angeles,NN
31,outside,IN
31,of,IN
31,his/her,PRP$
31,normal,JJ
31,duty,NN
31,hour,NN
31,but,CC
31,on,IN
31,matter,NN
31,arising,VB
31,within,IN
31,the,DT
31,scope,NN
31,of,IN
31,his/her,PRP$
31,employment,NN
31,said,VB
31,employee,NN
31,shall,MD
31,be,VB
31,entitled,VB
31,to,TO
31,receive,VB
31,minimum,NN
31,of,IN
31,one,CD
31,hour,NN
31,at,IN
31,one,CD
31,and,CC
31,one-half,CD
31,1½,CD
31,time,NN
31,his/her,PRP$
31,regular,JJ
31,rate,NN
31,of,IN
31,pay,NN
32,time,NN
32,spent,VB
32,in,IN
32,excess,NN
32,of,IN
32,the,DT
32,one,CD
32,hour,NN
32,minimum,NN
32,guarantee,NN
32,shall,MD
32,also,RB
32,be,VB
32,at,IN
32,the,DT
32,rate,NN
32,of,IN
32,one,CD
32,and,CC
32,one-half,CD
32,1½,CD
32,time,NN
32,the,DT
32,employee,NN
32,'s,PRP$
32,regular,JJ
32,rate,NN
32,of,IN
32,pay,NN
32,payable,JJ
32,in,IN
32,six,CD
32,minute,NN
32,increment,NN
33,no,DT
33,compensation,NN
33,shall,MD
33,be,VB
33,paid,VB
33,for,IN
33,the,DT
33,first,JJ
33,45,CD
33,minute,NN
33,of,IN
33,the,DT
33,court,NN
33,'s,PRP$
33,noon,NN
33,recess,NN
33,provided,VB
33,however,RB
33,that,IN
33,no,DT
33,such,JJ
33,compensation,NN
33,shall,MD
33,be,VB
33,allowed,VB
33,unless,IN
33,such,JJ
33,employee,NN
33,is,VB
33,in,IN
33,actual,JJ
33,attendance,NN
33,in,IN
33,court,NN
34,such,JJ
34,compensation,NN
34,for,IN
34,court,NN
34,appearance,NN
34,may,MD
34,be,VB
34,in,IN
34,either,RB
34,time,NN
34,off,RP
34,or,CC
34,cash,NN
35,call,VB
35,back,RP
35,provision,NN
35,are,VB
35,not,RB
35,applicable,JJ
35,to,TO
35,court,NN
35,appearance,NN
36,section,NN
36,ii,NN
36,the,DT
36,following,JJ
36,court,NN
36,provision,NN
36,shall,MD
36,apply,VB
36,to,TO
36,employee,NN
36,in,IN
36,the,DT
36,police,NN
36,department,NN
36,only,RB
37,these,DT
37,provision,NN
37,apply,VB
37,only,RB
37,for,IN
37,the,DT
37,payment,NN
37,of,IN
37,overtime,NN
37,for,IN
37,court,NN
37,appearance,NN
37,outside,IN
37,of,IN
37,the,DT
37,normal,JJ
37,duty,NN
37,hour,NN
37,of,IN
37,employee,NN
38,call,VB
38,back,RP
38,provision,NN
38,are,VB
38,not,RB
38,applicable,JJ
38,to,TO
38,court,NN
38,appearance,NN
38,34,CD
38,mou01,NN
38,41457,CD
38,42551,CD
38,basic,JJ
38,compensation,NN
38,an,DT
38,employee,NN
38,at,IN
38,the,DT
38,employee,NN
38,'s,PRP$
38,option,NN
38,may,MD
38,report,VB
38,to,TO
38,court,NN
38,when,WRB
38,subpoenaed,VB
38,or,CC
38,remain,VB
38,on,IN
38,call,NN
39,if,IN
39,the,DT
39,employee,NN
39,elect,VB
39,to,TO
39,appear,VB
39,in,IN
39,court,NN
39,the,DT
39,division,NN
39,supervisor,NN
39,must,MD
39,be,VB
39,notified,VB
39,at,IN
39,the,DT
39,latest,JJ
39,one,CD
39,administrative,JJ
39,day,NN
39,prior,JJ
39,to,TO
39,the,DT
39,scheduled,JJ
39,court,NN
39,appearance,NN
40,if,IN
40,the,DT
40,employee,NN
40,wish,NN
40,to,TO
40,remain,VB
40,on,IN
40,call,NN
40,the,DT
40,employee,NN
40,must,MD
40,be,VB
40,able,JJ
40,to,TO
40,appear,VB
40,in,IN
40,court,NN
40,not,RB
40,more,RB
40,than,IN
40,one,CD
40,hour,NN
40,after,IN
40,being,VB
40,notified,VB
40,that,IN
40,the,DT
40,employee,NN
40,'s,PRP$
40,appearance,NN
40,is,VB
40,required,VB
40,in,IN
40,court,NN
41,to,TO
41,appear,VB
41,in,IN
41,court,NN
41,more,RB
41,than,IN
41,an,DT
41,hour,NN
41,after,IN
41,having,VB
41,been,VB
41,notified,VB
41,will,MD
41,void,VB
41,the,DT
41,employee,NN
41,'s,PRP$
41,right,NN
41,to,TO
41,on-call,JJ
41,compensation,NN
42,an,DT
42,employee,NN
42,need,MD
42,not,RB
42,remain,VB
42,at,IN
42,home,NN
42,but,CC
42,must,MD
42,be,VB
42,available,JJ
42,for,IN
42,telephonic,JJ
42,notification,NN
42,at,IN
42,location,NN
42,where,WRB
42,the,DT
42,supervisor,NN
42,know,VB
42,the,DT
42,employee,NN
42,can,MD
42,be,VB
42,reached,VB
43,an,DT
43,off-duty,JJ
43,employee,NN
43,shall,MD
43,receive,VB
43,minimum,NN
43,of,IN
43,two,CD
43,hour,NN
43,overtime,JJ
43,compensation,NN
43,for,IN
43,any,DT
43,court,NN
43,day,NN
43,he/she,PRP
43,is,VB
43,subpoenaed,VB
43,to,TO
43,be,VB
43,on,IN
43,call,NN
43,or,CC
43,required,VB
43,to,TO
43,appear,VB
43,an,DT
43,off-duty,JJ
43,employee,NN
43,shall,MD
43,receive,VB
43,hour-for-hour,JJ
43,overtime,JJ
43,compensation,NN
43,for,IN
43,each,DT
43,additional,JJ
43,hour,NN
43,of,IN
43,actual,JJ
43,attendance,NN
43,in,IN
43,excess,NN
43,of,IN
43,the,DT
43,two,CD
43,hour,NN
43,minimum,NN
43,provided,VB
43,for,IN
43,in,IN
43,paragraph,NN
43,a.1,NN
43,above,IN
43,with,IN
43,the,DT
43,following,JJ
43,noontime,JJ
43,recess,NN
43,exception,NN
2091,less,JJ
43,of,IN
43,recess,NN
43,amount,NN
43,of,IN
43,compensation,NN
43,45,CD
43,minute,NN
43,or,CC
192,lead,NN
43,none,NN
43,46,CD
43,minute,NN
43,or,CC
43,more,RB
43,all,DT
43,time,NN
43,over,IN
43,46,CD
43,minute,NN
43,in,IN
43,minute,NN
43,increment,NN
43,note,NN
43,an,DT
43,employee,NN
43,shall,MD
43,not,RB
43,receive,VB
43,court,NN
43,on-call,JJ
43,overtime,JJ
43,compensation,NN
43,and,CC
43,hour-for-hour,JJ
43,overtime,NN
43,compensation,NN
43,for,IN
43,the,DT
43,same,JJ
43,time,NN
43,period,NN
44,multiple,JJ
44,cases,NN
44,an,DT
44,off-duty,JJ
44,employee,NN
44,who,WP
44,receives,VB
44,morning,NN
44,and,CC
44,afternoon,NN
44,subpoena,NN
44,for,IN
44,separate,JJ
44,case,NN
44,on,IN
44,court,NN
44,day,NN
44,shall,MD
44,receive,VB
44,overtime,JJ
44,compensation,NN
44,in,IN
44,paragraph,NN
44,a.1,NN
44,above,IN
44,for,IN
44,each,DT
44,case,NN
44,for,IN
44,total,NN
44,of,IN
44,four,CD
44,hour,NN
45,in,IN
45,addition,NN
45,he/she,PRP
45,shall,MD
45,receive,VB
45,hour-for-hour,JJ
45,overtime,JJ
45,compensation,NN
45,for,IN
45,each,DT
45,additional,JJ
45,hour,NN
45,of,IN
45,actual,JJ
45,court,NN
45,attendance,NN
45,in,IN
45,excess,NN
45,of,IN
45,two,CD
45,hour,NN
46,35,CD
46,mou01,NN
46,41457,CD
46,42551,CD
46,c.,NN
46,exceptions,NN
46,to,TO
46,the,DT
46,two,CD
46,hour,NN
46,minimum,JJ
46,management,NN
46,will,MD
46,attempt,VB
46,to,TO
46,adjust,VB
46,an,DT
46,employee,NN
46,'s,PRP$
46,shift,NN
46,to,TO
46,accommodate,VB
46,court,NN
46,appearance,NN
46,or,CC
46,on-call,JJ
46,status,NN
46,commencing,VB
46,two,CD
46,hour,NN
46,or,CC
192,lead,NN
46,before,IN
46,or,CC
46,after,IN
46,the,DT
46,employee,NN
46,'s,PRP$
46,regularly,RB
46,assigned,VB
46,shift,NN
46,begin,NN
46,or,CC
46,end,NN
47,if,IN
47,an,DT
47,employee,NN
47,'s,PRP$
47,shift,NN
47,can,MD
47,not,RB
47,be,VB
47,adjusted,VB
47,the,DT
47,employee,NN
47,will,MD
47,be,VB
47,compensated,VB
47,follows,VB
47,court,NN
47,appearance,NN
47,or,CC
47,on-call,JJ
47,status,NN
47,commencing,VB
47,two,CD
47,hour,NN
47,or,CC
193,lead,NN
47,before,IN
47,the,DT
47,employee,NN
47,'s,PRP$
47,regularly,RB
47,assigned,VB
47,shift,NN
47,begin,NN
48,compensation,NN
48,will,MD
48,be,VB
48,for,IN
48,the,DT
48,actual,JJ
48,time,NN
48,between,IN
48,the,DT
48,commencement,NN
48,of,IN
48,the,DT
48,court,NN
48,appearance,NN
48,or,CC
48,on-call,JJ
48,and,CC
48,the,DT
48,beginning,NN
48,of,IN
48,the,DT
48,employee,NN
48,'s,PRP$
48,assigned,VB
48,shift,NN
48,with,IN
48,the,DT
48,same,JJ
48,noon,NN
48,recess,NN
48,provision,NN
48,outlined,VB
48,in,IN
48,paragraph,NN
48,a.2,NN
48,above,IN
48,court,NN
48,appearance,NN
48,commencing,VB
48,two,CD
48,hour,NN
48,or,CC
195,lead,NN
48,after,IN
48,the,DT
48,employee,NN
48,'s,PRP$
48,regularly,RB
48,assigned,VB
48,shift,NN
48,end,NN
49,compensation,NN
49,will,MD
49,be,VB
49,for,IN
49,the,DT
49,actual,JJ
49,time,NN
49,between,IN
49,the,DT
49,end,NN
49,of,IN
49,the,DT
49,employee,NN
49,'s,PRP$
49,assigned,VB
49,shift,NN
49,and,CC
49,the,DT
49,termination,NN
49,of,IN
49,the,DT
49,court,NN
49,appearance,NN
49,with,IN
49,the,DT
49,same,JJ
49,noon,NN
49,recess,NN
49,provision,NN
49,outlined,VB
49,in,IN
49,paragraph,NN
49,a.2,NN
49,above,IN
49,court,NN
49,appearance,NN
49,or,CC
49,on-call,JJ
49,that,WDT
49,begin,NN
49,during,IN
49,an,DT
49,employee's,PRP$
49,regularly,RB
49,assigned,VB
49,shift,NN
50,compensation,NN
50,will,MD
50,be,VB
50,for,IN
50,the,DT
50,actual,JJ
50,time,NN
50,between,IN
50,the,DT
50,end,NN
50,of,IN
50,the,DT
50,employee,NN
50,'s,PRP$
50,assigned,VB
50,shift,NN
50,and,CC
50,the,DT
50,termination,NN
50,of,IN
50,the,DT
50,appearance,NN
50,or,CC
50,on-call,JJ
50,status,NN
