,Sentence #,Word,POS
472,15.0,regular,JJ
473,15.0,rate,NN
474,15.0,of,IN
475,15.0,pay,NN
476,16.0,section,NN
477,16.0,iv,NN
478,16.0,compensated,VBD
479,16.0,time,NN
480,16.0,off,IN
481,16.0,employees,NNS
482,16.0,may,MD
483,16.0,subject,VB
484,16.0,to,TO
485,16.0,management,NN
486,16.0,discretion,NN
487,16.0,be,VB
488,16.0,permitted,VBN
489,16.0,to,TO
490,16.0,accumulate,VB
491,16.0,up,RP
492,16.0,to,TO
493,16.0,80,CD
494,16.0,hour,NN
495,16.0,of,IN
496,16.0,compensatory,JJ
497,16.0,time,NN
498,16.0,off,RP
499,16.0,cto,NN
500,16.0,occasionally,RB
501,16.0,employee,NN
502,16.0,may,MD
503,16.0,accumulate,VB
504,16.0,cto,NN
505,16.0,in,IN
506,16.0,excess,NN
507,16.0,of,IN
508,16.0,80,CD
509,16.0,hour,NN
510,16.0,for,IN
511,16.0,temporary,JJ
512,16.0,period,NN
513,16.0,of,IN
514,16.0,time,NN
515,16.0,not,RB
516,16.0,to,TO
517,16.0,exceed,VB
518,16.0,an,DT
519,16.0,additional,JJ
520,16.0,fiscal,JJ
521,16.0,year,NN
522,17.0,if,IN
523,17.0,an,DT
524,17.0,employee,NN
525,17.0,doe,NN
526,17.0,not,RB
527,17.0,schedule,JJ
528,17.0,and,CC
529,17.0,take,VB
530,17.0,cto,NN
531,17.0,over,IN
532,17.0,80,CD
533,17.0,hour,NN
534,17.0,prior,RB
535,17.0,to,TO
536,17.0,the,DT
537,17.0,end,NN
538,17.0,of,IN
539,17.0,the,DT
540,17.0,fiscal,JJ
541,17.0,year,NN
542,17.0,management,NN
543,17.0,may,MD
544,17.0,require,VB
545,17.0,employee,NN
546,17.0,to,TO
547,17.0,use,VB
548,17.0,cto,JJ
549,17.0,prior,RB
550,17.0,to,TO
551,17.0,the,DT
552,17.0,end,NN
553,17.0,of,IN
554,17.0,the,DT
555,17.0,fiscal,JJ
556,17.0,year,NN
557,17.0,require,VBP
558,17.0,employee,NN
559,17.0,to,TO
560,17.0,use,VB
561,17.0,such,JJ
562,17.0,time,NN
563,17.0,in,IN
564,17.0,lieu,NN
565,17.0,of,IN
566,17.0,vacation,NN
567,17.0,unless,IN
568,17.0,the,DT
569,17.0,mandatory,JJ
570,17.0,use,NN
571,17.0,of,IN
572,17.0,cto,NN
573,17.0,would,MD
574,17.0,result,VB
575,17.0,in,IN
576,17.0,the,DT
577,17.0,loss,NN
578,17.0,of,IN
579,17.0,vacation,NN
580,17.0,accumulation,NN
581,17.0,or,CC
582,17.0,other,JJ
583,17.0,leave,JJ
584,17.0,time,NN
585,17.0,or,CC
586,17.0,authorize,VB
587,17.0,cash,NN
588,17.0,payment,NN
589,18.0,in,IN
590,18.0,the,DT
591,18.0,event,NN
592,18.0,sufficient,NN
593,18.0,fund,NN
594,18.0,are,VBP
595,18.0,not,RB
596,18.0,available,JJ
597,18.0,to,TO
598,18.0,provide,VB
599,18.0,cash,NN
600,18.0,compensation,NN
601,18.0,for,IN
602,18.0,all,DT
603,18.0,or,CC
604,18.0,portion,NN
605,18.0,of,IN
606,18.0,the,DT
607,18.0,cto,JJ
608,18.0,hour,NN
609,18.0,in,IN
610,18.0,excess,NN
611,18.0,of,IN
612,18.0,80,CD
613,18.0,management,NN
614,18.0,may,MD
615,18.0,extend,VB
616,18.0,the,DT
617,18.0,time,NN
618,18.0,limit,NN
619,18.0,for,IN
620,18.0,period,NN
621,18.0,not,RB
622,18.0,to,TO
623,18.0,exceed,VB
624,18.0,one,CD
625,18.0,additional,JJ
626,18.0,fiscal,JJ
627,18.0,year,NN
628,19.0,in,IN
629,19.0,accordance,NN
630,19.0,with,IN
631,19.0,flsa,JJ
632,19.0,no,DT
633,19.0,employee,NN
634,19.0,shall,MD
635,19.0,lose,VB
636,19.0,cto,NN
637,20.0,an,DT
638,20.0,employee,NN
639,20.0,who,WP
640,20.0,ha,VBZ
641,20.0,requested,VBD
642,20.0,the,DT
643,20.0,use,NN
644,20.0,of,IN
645,20.0,cto,NN
646,20.0,for,IN
647,20.0,overtime,NN
648,20.0,worked,VBN
649,20.0,must,MD
650,20.0,be,VB
651,20.0,permitted,VBN
652,20.0,by,IN
653,20.0,management,NN
654,20.0,to,TO
655,20.0,use,VB
656,20.0,such,JJ
657,20.0,time,NN
658,20.0,within,IN
659,20.0,reasonable,JJ
660,20.0,time,NN
661,20.0,period,NN
662,20.0,after,IN
663,20.0,making,VBG
664,20.0,the,DT
665,20.0,request,NN
666,20.0,unless,IN
667,20.0,the,DT
668,20.0,use,NN
669,20.0,of,IN
670,20.0,the,DT
671,20.0,cto,NN
672,20.0,within,IN
673,20.0,reasonable,JJ
674,20.0,period,NN
675,20.0,would,MD
676,20.0,unduly,VB
677,20.0,disrupt,VB
678,20.0,the,DT
679,20.0,operation,NN
680,20.0,of,IN
681,20.0,the,DT
682,20.0,city,NN
683,20.0,department,NN
684,21.0,this,DT
685,21.0,standard,JJ
686,21.0,doe,NN
687,21.0,not,RB
688,21.0,apply,VB
689,21.0,to,TO
690,21.0,non-flsa,JJ
691,21.0,overtime,NN
692,21.0,i.e.,NN
693,21.0,overtime,NN
694,21.0,earned,VBN
695,21.0,pursuant,NN
696,21.0,to,TO
697,21.0,this,DT
698,21.0,agreement,NN
699,21.0,that,WDT
700,21.0,doe,VBZ
701,21.0,not,RB
702,21.0,meet,VB
703,21.0,the,DT
704,21.0,flsa,JJ
705,21.0,definition,NN
706,21.0,of,IN
707,21.0,overtime,JJ
708,21.0,32,CD
709,21.0,mou01,NN
710,21.0,07/02/2013,CD
711,21.0,06/30/2016,CD
712,21.0,under,IN
713,21.0,no,DT
714,21.0,circumstance,NN
715,21.0,shall,MD
716,21.0,compensated,VBD
717,21.0,time,NN
718,21.0,off,RP
719,21.0,in,IN
720,21.0,excess,NN
721,21.0,of,IN
722,21.0,240,CD
723,21.0,hour,NN
724,21.0,be,VB
725,21.0,accumulated,VBN
726,22.0,article,NN
727,22.0,6.3,CD
728,22.0,shift,NN
729,22.0,differential,JJ
730,22.0,notwithstanding,VBG
731,22.0,the,DT
732,22.0,provision,NN
733,22.0,of,IN
734,22.0,note,NN
735,22.0,of,IN
736,22.0,schedule,NN
737,22.0,of,IN
738,22.0,laac,JJ
739,22.0,section,NN
740,22.0,4.61,CD
741,22.0,any,DT
742,22.0,employee,NN
743,22.0,when,WRB
744,22.0,required,VBN
745,22.0,to,TO
746,22.0,work,VB
747,22.0,fifty,JJ
748,22.0,percent,JJ
749,22.0,50,CD
750,22.0,%,NN
751,22.0,or,CC
752,22.0,more,JJR
753,22.0,of,IN
754,22.0,his/her,JJR
755,22.0,time,NN
756,22.0,during,IN
757,22.0,his/her,JJR
758,22.0,regular,JJ
759,22.0,shift,NN
760,22.0,on,IN
761,22.0,any,DT
762,22.0,one,CD
763,22.0,day,NN
764,22.0,between,IN
765,22.0,the,DT
766,22.0,hour,NN
767,22.0,of,IN
768,22.0,5:00,CD
769,22.0,p.m.,NN
770,22.0,and,CC
771,22.0,8:00,CD
772,22.0,a.m.,RB
773,22.0,shall,MD
774,22.0,receive,VB
775,22.0,for,IN
776,22.0,each,DT
777,22.0,such,JJ
778,22.0,day,NN
779,22.0,worked,VBD
780,22.0,salary,JJ
781,22.0,at,IN
782,22.0,the,DT
783,22.0,second,JJ
784,22.0,premium,JJ
785,22.0,level,NN
786,22.0,rate,NN
787,22.0,above,IN
788,22.0,the,DT
789,22.0,appropriate,JJ
790,22.0,step,NN
791,22.0,rate,NN
792,22.0,of,IN
793,22.0,the,DT
794,22.0,salary,JJ
795,22.0,range,NN
796,22.0,prescribed,VBN
797,22.0,for,IN
798,22.0,his/her,JJR
799,22.0,classification,NN
800,23.0,the,DT
801,23.0,procedure,NN
802,23.0,for,IN
803,23.0,the,DT
804,23.0,payment,NN
805,23.0,of,IN
806,23.0,adjusted,JJ
807,23.0,compensation,NN
808,23.0,for,IN
809,23.0,work,NN
810,23.0,performed,VBN
811,23.0,under,IN
812,23.0,the,DT
813,23.0,provision,NN
814,23.0,of,IN
815,23.0,this,DT
816,23.0,article,NN
817,23.0,shall,MD
818,23.0,be,VB
819,23.0,in,IN
820,23.0,accordance,NN
821,23.0,with,IN
822,23.0,laac,JJ
823,23.0,sections,NNS
824,23.0,4.72,CD
825,23.0,4.74,CD
826,23.0,and,CC
827,23.0,4.75,CD
828,24.0,article,NN
829,24.0,6.4,CD
830,24.0,bilingual,JJ
831,24.0,bonus,NN
832,24.0,whenever,WRB
833,24.0,an,DT
834,24.0,appointing,VBG
835,24.0,authority,NN
836,24.0,determines,VBZ
837,24.0,that,IN
838,24.0,it,PRP
839,24.0,is,VBZ
840,24.0,necessary,JJ
841,24.0,or,CC
842,24.0,desirable,JJ
843,24.0,that,IN
844,24.0,position,NN
845,24.0,be,VB
846,24.0,filled,VBN
847,24.0,by,IN
848,24.0,person,NN
849,24.0,able,JJ
850,24.0,to,TO
851,24.0,converse,VB
852,24.0,fluently,RB
853,24.0,in,IN
854,24.0,language,NN
855,24.0,other,JJ
856,24.0,than,IN
857,24.0,english,JJ
858,24.0,or,CC
859,24.0,write,JJ
860,24.0,and,CC
861,24.0,interpret,JJ
862,24.0,language,NN
863,24.0,other,JJ
864,24.0,than,IN
865,24.0,english,VB
866,24.0,the,DT
867,24.0,appointing,VBG
868,24.0,authority,NN
869,24.0,shall,MD
870,24.0,transmit,VB
871,24.0,to,TO
872,24.0,the,DT
873,24.0,controller,NN
874,24.0,written,VBN
875,24.0,authorization,NN
876,24.0,approving,VBG
877,24.0,payment,NN
878,24.0,of,IN
879,24.0,bilingual,JJ
880,24.0,premium,NN
881,24.0,provided,VBN
882,24.0,by,IN
883,24.0,this,DT
884,24.0,article,NN
885,24.0,to,TO
886,24.0,the,DT
887,24.0,person,NN
888,24.0,occupying,VBG
889,24.0,such,JJ
890,24.0,position,NN
891,24.0,and,CC
892,24.0,possessing,NN
893,24.0,such,JJ
894,24.0,bilingual,JJ
895,24.0,skill,NN
896,25.0,after,IN
897,25.0,authorizing,VBG
898,25.0,payment,NN
899,25.0,of,IN
900,25.0,bilingual,JJ
901,25.0,premium,NN
902,25.0,the,DT
903,25.0,appointing,VBG
904,25.0,authority,NN
905,25.0,shall,MD
906,25.0,certify,VB
907,25.0,to,TO
908,25.0,the,DT
909,25.0,controller,NN
910,25.0,the,DT
911,25.0,name,NN
912,25.0,of,IN
913,25.0,an,DT
914,25.0,employee,NN
915,25.0,eligible,NN
916,25.0,for,IN
917,25.0,bilingual,JJ
918,25.0,premium,NN
919,25.0,and,CC
920,25.0,the,DT
921,25.0,personnel,NNS
922,25.0,department,NN
923,25.0,shall,MD
924,25.0,certify,VB
925,25.0,to,TO
926,25.0,the,DT
927,25.0,controller,NN
928,25.0,that,IN
929,25.0,the,DT
930,25.0,employee,NN
931,25.0,ha,NN
932,25.0,qualified,VBN
933,25.0,under,IN
934,25.0,it,PRP
935,25.0,standard,NN
936,25.0,of,IN
937,25.0,fluency,NN
938,25.0,and,CC
939,25.0,proficiency,NN
940,25.0,for,IN
941,25.0,said,VBD
942,25.0,language,NN
943,26.0,persons,NNS
944,26.0,certified,VBD
945,26.0,being,VBG
946,26.0,qualified,VBN
947,26.0,by,IN
948,26.0,the,DT
949,26.0,personnel,NNS
950,26.0,department,NN
951,26.0,shall,MD
952,26.0,receive,VB
953,26.0,bilingual,JJ
954,26.0,bonus,NN
955,26.0,of,IN
956,26.0,$,$
957,26.0,25.00,CD
958,26.0,per,IN
959,26.0,biweekly,JJ
960,26.0,pay,NN
961,26.0,period,NN
962,26.0,for,IN
963,26.0,duty,NN
964,26.0,requiring,VBG
965,26.0,conversing,VBG
966,26.0,fluently,RB
967,26.0,in,IN
968,26.0,language,NN
969,26.0,other,JJ
970,26.0,than,IN
971,26.0,english,JJ
972,26.0,or,CC
973,26.0,$,$
974,26.0,50.00,CD
975,26.0,per,IN
976,26.0,biweekly,JJ
977,26.0,pay,NN
978,26.0,period,NN
979,26.0,for,IN
980,26.0,duty,NN
981,26.0,requiring,VBG
982,26.0,conversing,VBG
983,26.0,fluently,RB
984,26.0,and,CC
985,26.0,interpreting,JJ
986,26.0,language,NN
987,26.0,other,JJ
988,26.0,than,IN
989,26.0,english,JJ
990,27.0,for,IN
991,27.0,newly,RB
992,27.0,hired,VBN
993,27.0,employee,NN
994,27.0,or,CC
995,27.0,employee,NN
996,27.0,newly,RB
997,27.0,appointed,VBN
998,27.0,to,TO
999,27.0,bilingual,JJ
1000,27.0,position,NN
1001,27.0,the,DT
1002,27.0,premium,JJ
1003,27.0,shall,MD
1004,27.0,be,VB
1005,27.0,paid,VBN
1006,27.0,at,IN
1007,27.0,the,DT
1008,27.0,beginning,NN
1009,27.0,of,IN
1010,27.0,the,DT
1011,27.0,first,JJ
1012,27.0,full,JJ
1013,27.0,biweekly,JJ
1014,27.0,pay,NN
1015,27.0,period,NN
1016,27.0,once,IN
1017,27.0,the,DT
1018,27.0,employee,NN
1019,27.0,ha,NN
1020,27.0,been,VBN
1021,27.0,certified,VBN
1022,27.0,by,IN
1023,27.0,the,DT
1024,27.0,personnel,NNS
1025,27.0,department,NN
1026,28.0,33,CD
1027,28.0,mou01,NN
1028,28.0,07/02/2013,CD
1029,28.0,06/30/2016,CD
1030,28.0,article,NN
1031,28.0,6.5,CD
1032,28.0,sign,NN
1033,28.0,language,NN
1034,28.0,premium,NN
1035,28.0,any,DT
1036,28.0,qualified,JJ
1037,28.0,employee,NN
1038,28.0,covered,VBN
1039,28.0,by,IN
1040,28.0,the,DT
1041,28.0,provision,NN
1042,28.0,of,IN
1043,28.0,the,DT
1044,28.0,mou,NN
1045,28.0,who,WP
1046,28.0,is,VBZ
1047,28.0,requested,VBN
1048,28.0,by,IN
1049,28.0,the,DT
1050,28.0,hearing,NN
1051,28.0,impaired,JJ
1052,28.0,assistance,NN
1053,28.0,center,NN
1054,28.0,to,TO
1055,28.0,utilize,VB
1056,28.0,sign,JJ
1057,28.0,language,NN
1058,28.0,shall,MD
1059,28.0,receive,VB
1060,28.0,compensation,NN
1061,28.0,equal,JJ
1062,28.0,to,TO
1063,28.0,two,CD
1064,28.0,and,CC
1065,28.0,three-quarter,JJ
1066,28.0,percent,NN
1067,28.0,2.75,CD
1068,28.0,%,NN
1069,28.0,of,IN
1070,28.0,their,PRP$
1071,28.0,salary,JJ
1072,28.0,or,CC
1073,28.0,wage,NN
1074,28.0,for,IN
1075,28.0,each,DT
1076,28.0,business,NN
1077,28.0,day,NN
1078,28.0,the,DT
1079,28.0,skill,NN
1080,28.0,is,VBZ
1081,28.0,utilized,JJ
1082,29.0,such,JJ
1083,29.0,practice,NN
1084,29.0,of,IN
1085,29.0,additional,JJ
1086,29.0,compensation,NN
1087,29.0,shall,MD
1088,29.0,be,VB
1089,29.0,in,IN
1090,29.0,accordance,NN
1091,29.0,with,IN
1092,29.0,laac,JJ
1093,29.0,section,NN
1094,29.0,4.84.1,CD
1095,30.0,article,NN
1096,30.0,6.6,CD
1097,30.0,court,NN
1098,30.0,appearances,NNS
1099,30.0,section,VBP
1100,30.0,the,DT
1101,30.0,following,JJ
1102,30.0,court,NN
1103,30.0,provision,NN
1104,30.0,will,MD
1105,30.0,apply,VB
1106,30.0,to,TO
1107,30.0,all,DT
1108,30.0,employee,NN
1109,30.0,in,IN
1110,30.0,the,DT
1111,30.0,unit,NN
1112,30.0,except,IN
1113,30.0,those,DT
1114,30.0,in,IN
1115,30.0,the,DT
1116,30.0,police,NN
1117,30.0,department,NN
1118,31.0,when,WRB
1119,31.0,an,DT
1120,31.0,employee,NN
1121,31.0,is,VBZ
1122,31.0,required,VBN
1123,31.0,to,TO
1124,31.0,appear,VB
1125,31.0,in,IN
1126,31.0,court,NN
1127,31.0,in,IN
1128,31.0,and,CC
1129,31.0,for,IN
1130,31.0,the,DT
1131,31.0,county,NN
1132,31.0,of,IN
1133,31.0,los,JJ
1134,31.0,angeles,NNS
1135,31.0,outside,IN
1136,31.0,of,IN
1137,31.0,his/her,NN
1138,31.0,normal,JJ
1139,31.0,duty,NN
1140,31.0,hour,NN
1141,31.0,but,CC
1142,31.0,on,IN
1143,31.0,matter,NN
1144,31.0,arising,VBG
1145,31.0,within,IN
1146,31.0,the,DT
1147,31.0,scope,NN
1148,31.0,of,IN
1149,31.0,his/her,JJ
1150,31.0,employment,NN
1151,31.0,said,VBD
1152,31.0,employee,NN
1153,31.0,shall,MD
1154,31.0,be,VB
1155,31.0,entitled,VBN
